country,weight
AD,1
AE,15
AF,9
AG,4
AI,1
AL,23
AM,14
AO,9
AR,195
AS,1
AT,33
AU,129
AW,2
AZ,24
BA,23
BB,2
BD,59
BE,11
BF,7
BG,34
BH,6
BI,3
BJ,3
BM,6
BN,4
BO,13
BQ,2
BR,4271
BS,2
BT,3
BW,2
BY,22
BZ,5
CA,299
CD,9
CG,4
CH,41
CI,4
CK,1
CL,90
CM,2
CN,41
CO,46
CR,22
CV,2
CW,3
CY,21
CZ,81
DE,161
DJ,1
DK,20
DM,1
DO,53
DZ,8
EC,93
EE,8
EG,20
ES,192
ET,1
FI,28
FJ,4
FO,2
FR,74
GA,7
GB,142
GD,2
GE,10
GF,3
GG,1
GH,9
GI,3
GL,2
GM,2
GP,2
GQ,1
GR,20
GT,16
GU,4
GW,2
GY,3
HK,24
HN,25
HR,8
HT,4
HU,44
ID,463
IE,18
IL,32
IM,4
IN,1278
IQ,46
IR,39
IS,7
IT,225
JE,2
JM,2
JO,8
JP,27
KE,18
KG,5
KH,21
KI,1
KN,2
KR,2
KW,16
KY,4
KZ,101
LA,12
LB,22
LC,1
LI,5
LK,8
LR,5
LS,2
LT,20
LU,7
LV,21
LY,9
MA,9
MC,1
MD,11
ME,4
MG,1
MH,1
MK,14
ML,2
MM,46
MN,5
MO,5
MP,1
MQ,4
MR,3
MT,4
MU,9
MV,3
MW,6
MX,251
MY,46
MZ,7
NA,3
NC,3
NE,4
NG,24
NI,8
NL,82
NO,39
NP,23
NR,1
NZ,63
OM,5
PA,18
PE,50
PF,2
PG,1
PH,128
PK,143
PL,259
PM,1
PR,27
PS,22
PT,28
PW,2
PY,43
QA,4
RE,2
RO,59
RS,30
RU,733
RW,6
SA,52
SB,3
SC,3
SD,2
SE,34
SG,30
SI,11
SK,55
SL,4
SN,4
SO,7
SR,6
SS,1
ST,2
SV,15
SX,2
SY,16
SZ,1
TC,1
TD,3
TG,3
TH,107
TJ,7
TL,3
TM,1
TN,6
TR,149
TT,11
TW,116
TZ,11
UA,349
UG,5
US,1390
UY,2
UZ,9
VC,1
VE,59
VG,3
VI,3
VN,40
VU,1
WS,2
XK,12
YE,1
ZA,91
ZM,3
ZW,3
