Cntry,num_users,num_ASes
 YE ,3,1
 SV ,3,2
 PS ,3,3
 JO ,3,2
 GE ,3,3
 ET ,3,1
 BW ,3,2
 AM ,3,1
 TG ,4,2
 QA ,4,2
 CY ,4,2
 CM ,4,2
 BZ ,4,1
 BY ,4,4
 BF ,4,3
 AL ,4,2
 TZ ,5,4
 SI ,5,3
 PY ,5,2
 LY ,5,3
 LB ,5,5
 CR ,5,3
 CI ,6,3
 BO ,6,3
 SN ,7,2
 NP ,7,3
 EU ,7,5
 AO ,7,1
 UG ,8,6
 TN ,8,5
 MM ,8,6
 KZ ,8,3
 KW ,8,4
 VE ,9,1
 UY ,9,2
 MD ,10,4
 LK ,10,5
 HR ,10,2
 GI ,10,1
 GH ,10,4
 DZ ,10,1
 DK ,10,8
 SK ,11,11
 EC ,11,5
 MU ,12,6
 KE ,12,6
 IS ,12,5
 EG ,13,4
 IQ ,14,4
 LT ,15,7
 LV ,16,6
 CL ,17,14
 MA ,18,4
 AE ,18,3
 PE ,19,7
 BG ,20,11
 SA ,21,5
 BH ,21,2
 RS ,22,8
 PT ,22,7
 LU ,23,8
 PH ,24,12
 FI ,26,10
 EE ,27,10
 NZ ,28,14
 BD ,28,18
 HU ,31,9
 TH ,34,13
 BE ,34,10
 CO ,38,12
 VN ,40,10
 NO ,45,8
 MX ,49,18
 AT ,49,21
 GR ,55,13
 ZA ,56,24
 PK ,58,22
 TW ,61,15
 IR ,68,27
 CZ ,70,17
 ID ,72,31
 NG ,74,12
 TR ,81,16
 IL ,82,13
 AR ,85,20
 CH ,87,19
 UA ,92,38
 SE ,101,29
 MY ,101,13
 PL ,105,47
 RO ,110,14
 IE ,111,7
 ES ,122,22
 AU ,141,35
 IT ,152,38
 KR ,201,29
 RU ,236,104
 NL ,241,53
 CA ,269,64
 JP ,292,58
 IN ,305,90
 FR ,332,53
 GB ,346,79
 BR ,361,138
 SG ,513,28
 HK ,522,37
 DE ,741,80
 CN ,5625,89
 US ,12494,516
